NC,37,001,Alamance County,H1
NC,37,003,Alexander County,H1
NC,37,005,Alleghany County,H1
NC,37,007,Anson County,H1
NC,37,009,Ashe County,H1
NC,37,011,Avery County,H1
NC,37,013,Beaufort County,H1
NC,37,015,Bertie County,H1
NC,37,017,Bladen County,H1
NC,37,019,Brunswick County,H1
NC,37,021,Buncombe County,H1
NC,37,023,Burke County,H1
NC,37,025,Cabarrus County,H1
NC,37,027,Caldwell County,H1
NC,37,029,Camden County,H1
NC,37,031,Carteret County,H1
NC,37,033,Caswell County,H1
NC,37,035,Catawba County,H1
NC,37,037,Chatham County,H1
NC,37,039,Cherokee County,H1
NC,37,041,Chowan County,H1
NC,37,043,Clay County,H1
NC,37,045,Cleveland County,H1
NC,37,047,Columbus County,H1
NC,37,049,Craven County,H1
NC,37,051,Cumberland County,H1
NC,37,053,Currituck County,H1
NC,37,055,Dare County,H1
NC,37,057,Davidson County,H1
NC,37,059,Davie County,H1
NC,37,061,Duplin County,H1
NC,37,063,Durham County,H1
NC,37,065,Edgecombe County,H1
NC,37,067,Forsyth County,H1
NC,37,069,Franklin County,H1
NC,37,071,Gaston County,H1
NC,37,073,Gates County,H1
NC,37,075,Graham County,H1
NC,37,077,Granville County,H1
NC,37,079,Greene County,H1
NC,37,081,Guilford County,H1
NC,37,083,Halifax County,H1
NC,37,085,Harnett County,H1
NC,37,087,Haywood County,H1
NC,37,089,Henderson County,H1
NC,37,091,Hertford County,H1
NC,37,093,Hoke County,H1
NC,37,095,Hyde County,H1
NC,37,097,Iredell County,H1
NC,37,099,Jackson County,H1
NC,37,101,Johnston County,H1
NC,37,103,Jones County,H1
NC,37,105,Lee County,H1
NC,37,107,Lenoir County,H1
NC,37,109,Lincoln County,H1
NC,37,111,McDowell County,H1
NC,37,113,Macon County,H1
NC,37,115,Madison County,H1
NC,37,117,Martin County,H1
NC,37,119,Mecklenburg County,H1
NC,37,121,Mitchell County,H1
NC,37,123,Montgomery County,H1
NC,37,125,Moore County,H1
NC,37,127,Nash County,H1
NC,37,129,New Hanover County,H1
NC,37,131,Northampton County,H1
NC,37,133,Onslow County,H1
NC,37,135,Orange County,H1
NC,37,137,Pamlico County,H1
NC,37,139,Pasquotank County,H1
NC,37,141,Pender County,H1
NC,37,143,Perquimans County,H1
NC,37,145,Person County,H1
NC,37,147,Pitt County,H1
NC,37,149,Polk County,H1
NC,37,151,Randolph County,H1
NC,37,153,Richmond County,H1
NC,37,155,Robeson County,H1
NC,37,157,Rockingham County,H1
NC,37,159,Rowan County,H1
NC,37,161,Rutherford County,H1
NC,37,163,Sampson County,H1
NC,37,165,Scotland County,H1
NC,37,167,Stanly County,H1
NC,37,169,Stokes County,H1
NC,37,171,Surry County,H1
NC,37,173,Swain County,H1
NC,37,175,Transylvania County,H1
NC,37,177,Tyrrell County,H1
NC,37,179,Union County,H1
NC,37,181,Vance County,H1
NC,37,183,Wake County,H1
NC,37,185,Warren County,H1
NC,37,187,Washington County,H1
NC,37,189,Watauga County,H1
NC,37,191,Wayne County,H1
NC,37,193,Wilkes County,H1
NC,37,195,Wilson County,H1
NC,37,197,Yadkin County,H1
NC,37,199,Yancey County,H1